rbp,protocol,cell,nr
YBX3,ECLIP,HEPG2,.
KHSRP,ECLIP,K562,.
NOLC1,ECLIP,K562,.
YBX3,ECLIP,K562,.
SAFB2,ECLIP,K562,.
SF3A3,ECLIP,HEPG2,.
PCBP1,ECLIP,K562,.
DDX21,ECLIP,K562,.
FXR2,ECLIP,HEPG2,.
MATR3,ECLIP,HEPG2,.
CPEB4,ECLIP,K562,.
FXR2,ECLIP,K562,.
TROVE2,ECLIP,K562,.
TAF15,ECLIP,K562,.
LARP4,ECLIP,HEPG2,.
HNRNPUL1,ECLIP,HEPG2,.
ZNF800,ECLIP,K562,.
POLR2G,ECLIP,HEPG2,.
DKC1,ECLIP,HEPG2,.
DDX3X,ECLIP,K562,.
SF3B4,ECLIP,HEPG2,.
DROSHA,ECLIP,HEPG2,.
TROVE2,ECLIP,HEPG2,.
WDR43,ECLIP,K562,.
TBRG4,ECLIP,K562,.
LARP7,ECLIP,K562,.
IGF2BP1,ECLIP,HEPG2,.
SFPQ,ECLIP,HEPG2,.
CSTF2T,ECLIP,HEPG2,.
TBRG4,ECLIP,HEPG2,.
SBDS,ECLIP,K562,.
UPF1,ECLIP,HEPG2,.
PUM2,ECLIP,K562,.
HNRNPC,ECLIP,HEPG2,.
FUBP3,ECLIP,HEPG2,.
PPIL4,ECLIP,K562,.
RPS11,ECLIP,K562,.
RBM5,ECLIP,HEPG2,.
QKI,ECLIP,HEPG2,.
ILF3,ECLIP,K562,.
FUS,ECLIP,K562,.
GRWD1,ECLIP,K562,.
SLTM,ECLIP,HEPG2,.
SSB,ECLIP,HEPG2,.
METAP2,ECLIP,K562,.
AKAP8L,ECLIP,K562,.
WDR43,ECLIP,HEPG2,.
FASTKD2,ECLIP,K562,.
AGO2MNASE,PARCLIP,.,2
TIA1,ICLIP,.,28
ELAVL1,CLIPSEQ,.,11
EWSR1,PARCLIP,.,12
TDP43,ICLIP,.,27
AGO2,HITSCLIP,.,4
HNRNPL,ICLIP,.,18
IGF2BP123,PARCLIP,.,15
ELAVL1MNASE,PARCLIP,.,9
AGO2,HITSCLIP,.,3
AGO2,CLIPSEQ,.,5
ELAVL1A,PARCLIP,.,10
FUS,PARCLIP,.,13
EIF4AIII,CLIPSEQ,.,7
QKI,PARCLIP,.,24
MOV10,PARCLIP,.,21
U2AF65,ICLIP,.,31
EIF4AIII,CLIPSEQ,.,6
U2AF65,ICLIP,.,30
PUM2,PARCLIP,.,23
ELAVL1,PARCLIP,.,8
TIAL1,ICLIP,.,29
HNRNPC,ICLIP,.,16
AGO1234,PARCLIP,.,1
HNRNP,ICLIP,.,19
HNRNPC,ICLIP,.,17
FUS,PARCLIP,.,14
SFRS1,CLIPSEQ,.,25
NSUN2,ICLIP,.,22
TAF15,PARCLIP,.,26
HNRNPLIKE,ICLIP,.,20
