rbp,cell,protocol
SFPQ,HepG2,ECLIP
CSTF2T,HepG2,ECLIP
TBRG4,HepG2,ECLIP
SBDS,K562,ECLIP
UPF1,HepG2,ECLIP
PUM2,K562,ECLIP
HNRNPC,HepG2,ECLIP
FUBP3,HepG2,ECLIP
PPIL4,K562,ECLIP
RPS11,K562,ECLIP
RBM5,HepG2,ECLIP
QKI,HepG2,ECLIP
ILF3,K562,ECLIP
FUS,K562,ECLIP
GRWD1,K562,ECLIP
SLTM,HepG2,ECLIP
SSB,HepG2,ECLIP
METAP2,K562,ECLIP
AKAP8L,K562,ECLIP
WDR43,HepG2,ECLIP
FASTKD2,K562,ECLIP
